,pokemon,description,number_nationaldex
19,Raticate,"
                  Raticate's sturdy fangs grow steadily. To keep them ground
down, it gnaws on rocks and logs. It may even chew on the
walls of houses.
                ",020
20,Spearow,"
                  Spearow has a very loud cry that can be heard over
half a mile away. If its high, keening cry is heard echoing all
around, it is a sign that they are warning each other of danger.
                ",021
21,Fearow,"
                  Fearow is recognized by its long neck and elongated beak.
They are conveniently shaped for catching prey in soil
or water. It deftly moves its long and skinny beak to
pluck prey.
                ",022
22,Ekans,"
                  Ekans curls itself up in a spiral while it rests. Assuming this
position allows it to quickly respond to a threat from any
direction with a glare from its upraised head.
                ",023
23,Arbok,"
                  This Pokémon is terrifically strong in order to constrict things
with its body. It can even flatten steel oil drums.
Once Arbok wraps its body around its foe, escaping its
crunching embrace is impossible.
                ",024
24,Pikachu,"
                  Whenever Pikachu comes across something new,
it blasts it with a jolt of electricity. If you come across a
blackened berry, it's evidence that this Pokémon mistook the
intensity of its charge.
                ",025
25,Raichu,"
                  If the electrical sacs become excessively charged,
Raichu plants its tail in the ground and discharges.
Scorched patches of ground will be found near this
Pokémon's nest.
                ",026
26,Sandshrew,"
                  Sandshrew's body is configured to absorb water without waste,
enabling it to survive in an arid desert. This Pokémon curls up
to protect itself from its enemies.
                ",027
27,Sandslash,"
                  Sandslash's body is covered by tough spikes, which are
hardened sections of its hide. Once a year, the old spikes
fall out, to be replaced with new spikes that grow out from
beneath the old ones.
                ",028
28,Nidoran♀,"
                  Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn.
                ",029
29,Nidorina,"
                  When Nidorina are with their friends or family, they keep their
barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated from
the others.
                ",030
30,Nidoqueen,"
                  Nidoqueen's body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles.
This Pokémon is at its strongest when it is defending its young.
                ",031
31,Nidoran♂,"
                  Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon's notice.
                ",032
32,Nidorino,"
                  Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might.
                ",033
33,Nidoking,"
                  Nidoking's thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower.
Once this Pokémon goes on a rampage, there is no stopping it.
                ",034
34,Clefairy,"
                  On every night of a full moon, groups of this Pokémon come
out to play. When dawn arrives, the tired Clefairy return to their
quiet mountain retreats and go to sleep nestled up against
each other.
                ",035
35,Clefable,"
                  Clefable moves by skipping lightly as if it were flying using its
wings. Its bouncy step lets it even walk on water. It is known
to take strolls on lakes on quiet, moonlit nights.
                ",036
36,Vulpix,"
                  At the time of its birth, Vulpix has one white tail. The tail
separates into six if this Pokémon receives plenty of love
from its Trainer. The six tails become magnificently curled.
                ",037
37,Ninetales,"
                  Ninetales casts a sinister light from its bright red eyes to gain
total control over its foe's mind. This Pokémon is said to live
for a thousand years.
                ",038
38,Jigglypuff,"
                  Jigglypuff's vocal cords can freely adjust the wavelength of its
voice. This Pokémon uses this ability to sing at precisely the
right wavelength to make its foes most drowsy.
                ",039
39,Wigglytuff,"
                  Wigglytuff has large, saucerlike eyes. The surfaces of its eyes
are always covered with a thin layer of tears. If any dust gets in
this Pokémon's eyes, it is quickly washed away.
                ",040
40,Zubat,"
                  Zubat remains quietly unmoving in a dark spot during the bright
daylight hours. It does so because prolonged exposure to the
sun causes its body to become slightly burned.
                ",041
41,Golbat,"
                  Golbat loves to drink the blood of living things. It is particularly
active in the pitch black of night. This Pokémon flits around in
the night skies, seeking fresh blood.
                ",042
42,Oddish,"
                  During the daytime, Oddish buries itself in soil to absorb
nutrients from the ground using its entire body.
The more fertile the soil, the glossier its leaves become.
                ",043
43,Gloom,"
                  Gloom releases a foul fragrance from the pistil of its flower.
When faced with danger, the stench worsens.
If this Pokémon is feeling calm and secure, it does not
release its usual stinky aroma.
                ",044
44,Vileplume,"
                  Vileplume's toxic pollen triggers atrocious allergy attacks.
That's why it is advisable never to approach any attractive
flowers in a jungle, however pretty they may be.
                ",045
45,Paras,"
                  Paras has parasitic mushrooms growing on its back called
tochukaso. They grow large by drawing nutrients from this
Bug Pokémon host. They are highly valued as a medicine
for extending life.
                ",046
46,Parasect,"
                  Parasect is known to infest large trees en masse and drain
nutrients from the lower trunk and roots. When an infested tree
dies, they move onto another tree all at once.
                ",047
47,Venonat,"
                  Venonat is said to have evolved with a coat of thin,
stiff hair that covers its entire body for protection.
It possesses large eyes that never fail to spot even
minuscule prey.
                ",048
48,Venomoth,"
                  Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness.
                ",049
49,Diglett,"
                  Diglett are raised in most farms. The reason is simple—
wherever this Pokémon burrows, the soil is left perfectly tilled
for planting crops. This soil is made ideal for growing
delicious vegetables.
                ",050
50,Dugtrio,"
                  Dugtrio are actually triplets that emerged from one body.
As a result, each triplet thinks exactly like the other
two triplets. They work cooperatively to burrow endlessly.
                ",051
51,Meowth,"
                  Meowth withdraws its sharp claws into its paws to slinkily sneak
about without making any incriminating footsteps.
For some reason, this Pokémon loves shiny coins that
glitter with light.
                ",052
52,Persian,"
                  Persian has six bold whiskers that give it a look of toughness.
The whiskers sense air movements to determine what is in the
Pokémon's surrounding vicinity. It becomes docile if grabbed
by the whiskers.
                ",053
53,Psyduck,"
                  Psyduck uses a mysterious power. When it does so, this
Pokémon generates brain waves that are supposedly only seen
in sleepers. This discovery spurred controversy
among scholars.
                ",054
54,Golduck,"
                  The webbed flippers on its forelegs and hind legs and the
streamlined body of Golduck give it frightening speed.
This Pokémon is definitely much faster than even the most
athletic swimmer.
                ",055
55,Mankey,"
                  When Mankey starts shaking and its nasal breathing turns
rough, it's a sure sign that it is becoming angry. However,
because it goes into a towering rage almost instantly,
it is impossible for anyone to flee its wrath.
                ",056
56,Primeape,"
                  When Primeape becomes furious, its blood circulation is
boosted. In turn, its muscles are made even stronger.
However, it also becomes much less intelligent at the
same time.
                ",057
57,Growlithe,"
                  Growlithe has a superb sense of smell. Once it smells anything,
this Pokémon won't forget the scent, no matter what. It uses
its advanced olfactory sense to determine the emotions of
other living things.
                ",058
58,Arcanine,"
                  Arcanine is known for its high speed. It is said to be capable of
running over 6,200 miles in a single day and night.
The fire that blazes wildly within this Pokémon's body is its
source of power.
                ",059
59,Poliwag,"
                  Poliwag has a very thin skin. It is possible to see the
Pokémon's spiral innards right through the skin.
Despite its thinness, however, the skin is also very flexible.
Even sharp fangs bounce right off it.
                ",060
60,Poliwhirl,"
                  The surface of Poliwhirl's body is always wet and slick with
a slimy fluid. Because of this slippery covering, it can easily
slip and slide out of the clutches of any enemy in battle.
                ",061
61,Poliwrath,"
                  Poliwrath's highly developed, brawny muscles never grow
fatigued, however much it exercises. It is so tirelessly strong,
this Pokémon can swim back and forth across the ocean
without effort.
                ",062
62,Abra,"
                  Abra sleeps for eighteen hours a day. However, it can sense
the presence of foes even while it is sleeping. In such a
situation, this Pokémon immediately teleports to safety.
                ",063
63,Kadabra,"
                  Kadabra emits a peculiar alpha wave if it develops a headache.
Only those people with a particularly strong psyche can hope
to become a Trainer of this Pokémon.
                ",064
64,Alakazam,"
                  Alakazam's brain continually grows, making its head far too
heavy to support with its neck. This Pokémon holds its head up
using its psychokinetic power instead.
                ",065
65,Machop,"
                  Machop's muscles are special—they never get sore no matter
how much they are used in exercise. This Pokémon has
sufficient power to hurl a hundred adult humans.
                ",066
66,Machoke,"
                  Machoke's thoroughly toned muscles possess the hardness
of steel. This Pokémon has so much strength, it can easily
hold aloft a sumo wrestler on just one finger.
                ",067
67,Machamp,"
                  Machamp has the power to hurl anything aside. However,
trying to do any work requiring care and dexterity causes its
arms to get tangled. This Pokémon tends to leap into action
before it thinks.
                ",068
68,Bellsprout,"
                  Bellsprout's thin and flexible body lets it bend and sway to
avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron.
                ",069
69,Weepinbell,"
                  Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground.
                ",070
70,Victreebel,"
                  Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal to
attract prey. When an unsuspecting prey draws near, this
Pokémon swallows it whole.
                ",071
71,Tentacool,"
                  Tentacool's body is largely composed of water. If it is removed
from the sea, it dries up like parchment. If this Pokémon
happens to become dehydrated, put it back into the sea.
                ",072
72,Tentacruel,"
                  Tentacruel has large red orbs on its head. The orbs glow
before lashing the vicinity with a harsh ultrasonic blast.
This Pokémon's outburst creates rough waves around it.
                ",073
73,Geodude,"
                  The longer a Geodude lives, the more its edges are chipped
and worn away, making it more rounded in appearance.
However, this Pokémon's heart will remain hard, craggy,
and rough always.
                ",074
74,Graveler,"
                  Graveler grows by feeding on rocks. Apparently, it prefers to
eat rocks that are covered in moss. This Pokémon eats its way
through a ton of rocks on a daily basis.
                ",075
75,Golem,"
                  Golem live up on mountains. If there is a large earthquake,
these Pokémon will come rolling down off the mountains
en masse to the foothills below.
                ",076
76,Ponyta,"
                  Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and falling to
keep up with its parent.
                ",077
77,Rapidash,"
                  Rapidash usually can be seen casually cantering in the
fields and plains. However, when this Pokémon turns serious,
its fiery manes flare and blaze as it gallops its way up to
150 mph.
                ",078
78,Slowpoke,"
                  Slowpoke uses its tail to catch prey by dipping it in water at
the side of a river. However, this Pokémon often forgets what
it's doing and often spends entire days just loafing at
water's edge.
                ",079
79,Slowbro,"
                  Slowbro's tail has a Shellder firmly attached with a bite.
As a result, the tail can't be used for fishing anymore.
This causes Slowbro to grudgingly swim and catch
prey instead.
                ",080
80,Magnemite,"
                  Magnemite attaches itself to power lines to feed on electricity.
If your house has a power outage, check your circuit breakers.
You may find a large number of this Pokémon clinging to the
breaker box.
                ",081
81,Magneton,"
                  Magneton emits a powerful magnetic force that is fatal to
mechanical devices. As a result, large cities sound sirens
to warn citizens of large-scale outbreaks of this Pokémon.
                ",082
82,Farfetch'd,"
                  Farfetch'd is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks.
                ",083
83,Doduo,"
                  Doduo's two heads never sleep at the same time. Its two
heads take turns sleeping, so one head can always keep
watch for enemies while the other one sleeps.
                ",084
84,Dodrio,"
                  Watch out if Dodrio's three heads are looking in three separate
directions. It's a sure sign that it is on its guard. Don't go near
this Pokémon if it's being wary—it may decide to peck you.
                ",085
85,Seel,"
                  Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head.
                ",086
86,Dewgong,"
                  Dewgong loves to snooze on bitterly cold ice. The sight of this
Pokémon sleeping on a glacier was mistakenly thought to be a
mermaid by a mariner long ago.
                ",087
87,Grimer,"
                  Grimer's sludgy and rubbery body can be forced through any
opening, however small it may be. This Pokémon enters sewer
pipes to drink filthy wastewater.
                ",088
88,Muk,"
                  From Muk's body seeps a foul fluid that gives off a
nose-bendingly horrible stench. Just one drop of this
Pokémon's body fluid can turn a pool stagnant and rancid.
                ",089
89,Shellder,"
                  At night, this Pokémon uses its broad tongue to burrow a hole
in the seafloor sand and then sleep in it. While it is sleeping,
Shellder closes its shell, but leaves its tongue hanging out.
                ",090
90,Cloyster,"
                  Cloyster is capable of swimming in the sea. It does so by
swallowing water, then jetting it out toward the rear.
This Pokémon shoots spikes from its shell using the
same system.
                ",091
91,Gastly,"
                  Gastly is largely composed of gaseous matter. When exposed
to a strong wind, the gaseous body quickly dwindles away.
Groups of this Pokémon cluster under the eaves of houses to
escape the ravages of wind.
                ",092
92,Haunter,"
                  Haunter is a dangerous Pokémon. If one beckons you while
floating in darkness, you must never approach it. This Pokémon
will try to lick you with its tongue and steal your life away.
                ",093
93,Gengar,"
                  Sometimes, on a dark night, your shadow thrown by a
streetlight will suddenly and startlingly overtake you.
It is actually a Gengar running past you, pretending to be
your shadow.
                ",094
94,Onix,"
                  Onix has a magnet in its brain. It acts as a compass so that this
Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother.
                ",095
95,Drowzee,"
                  If your nose becomes itchy while you are sleeping, it's a sure
sign that one of these Pokémon is standing above your pillow
and trying to eat your dream through your nostrils.
                ",096
96,Hypno,"
                  Hypno holds a pendulum in its hand. The arcing movement and
glitter of the pendulum lull the foe into a deep state of
hypnosis. While this Pokémon searches for prey, it polishes
the pendulum.
                ",097
97,Krabby,"
                  Krabby live on beaches, burrowed inside holes dug into the
sand. On sandy beaches with little in the way of food, these
Pokémon can be seen squabbling with each other
over territory.
                ",098
98,Kingler,"
                  Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires.
                ",099
99,Voltorb,"
                  Voltorb was first sighted at a company that manufactures
Poké Balls. The link between that sighting and the fact
that this Pokémon looks very similar to a Poké Ball remains
a mystery.
                ",100
100,Electrode,"
                  Electrode eats electricity in the atmosphere. On days when
lightning strikes, you can see this Pokémon exploding all over
the place from eating too much electricity.
                ",101
101,Exeggcute,"
                  This Pokémon consists of six eggs that form a closely knit
cluster. The six eggs attract each other and spin around.
When cracks increasingly appear on the eggs, Exeggcute is
close to evolution.
                ",102
102,Exeggutor,"
                  Exeggutor originally came from the tropics. Its heads
steadily grow larger from exposure to strong sunlight.
It is said that when the heads fall off, they group together
to form Exeggcute.
                ",103
103,Cubone,"
                  Cubone pines for the mother it will never see again.
Seeing a likeness of its mother in the full moon, it cries.
The stains on the skull the Pokémon wears are made by the
tears it sheds.
                ",104
104,Marowak,"
                  Marowak is the evolved form of a Cubone that has overcome
its sadness at the loss of its mother and grown tough.
This Pokémon's tempered and hardened spirit is not
easily broken.
                ",105
105,Hitmonlee,"
                  Hitmonlee's legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles to
overcome fatigue.
                ",106
106,Hitmonchan,"
                  Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon has
an indomitable spirit and will never give up in the face
of adversity.
                ",107
107,Lickitung,"
                  Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things.
                ",108
108,Koffing,"
                  If Koffing becomes agitated, it raises the toxicity of its internal
gases and jets them out from all over its body. This Pokémon
may also overinflate its round body, then explode.
                ",109
109,Weezing,"
                  Weezing loves the gases given off by rotted kitchen garbage.
This Pokémon will find a dirty, unkempt house and make it its
home. At night, when the people in the house are asleep, it will
go through the trash.
                ",110
110,Rhyhorn,"
                  Rhyhorn runs in a straight line, smashing everything in its path.
It is not bothered even if it rushes headlong into a block of
steel. This Pokémon may feel some pain from the collision the
next day, however.
                ",111
111,Rhydon,"
                  Rhydon's horn can crush even uncut diamonds. One sweeping
blow of its tail can topple a building. This Pokémon's hide is
extremely tough. Even direct cannon hits don't leave a scratch.
                ",112
112,Chansey,"
                  Chansey lays nutritionally excellent eggs on an everyday basis.
The eggs are so delicious, they are easily and eagerly
devoured by even those people who have lost their appetite.
                ",113
113,Tangela,"
                  Tangela's vines snap off easily if they are grabbed.
This happens without pain, allowing it to make a quick
getaway. The lost vines are replaced by newly grown vines the
very next day.
                ",114
114,Kangaskhan,"
                  If you come across a young Kangaskhan playing by itself, you
must never disturb it or attempt to catch it. The baby
Pokémon's parent is sure to be in the area, and it will become
violently enraged at you.
                ",115
115,Horsea,"
                  Horsea eats small insects and moss off of rocks. If the ocean
current turns fast, this Pokémon anchors itself by wrapping its
tail around rocks or coral to prevent being washed away.
                ",116
116,Seadra,"
                  Seadra sleeps after wriggling itself between the branches of
coral. Those trying to harvest coral are occasionally stung by
this Pokémon's poison barbs if they fail to notice it.
                ",117
117,Goldeen,"
                  Goldeen is a very beautiful Pokémon with fins that billow
elegantly in water. However, don't let your guard down around
this Pokémon—it could ram you powerfully with its horn.
                ",118
118,Seaking,"
                  In the autumn, Seaking males can be seen performing
courtship dances in riverbeds to woo females. During this
season, this Pokémon's body coloration is at its most beautiful.
                ",119
119,Staryu,"
                  Staryu's center section has an organ called the core that
shines bright red. If you go to a beach toward the end of
summer, the glowing cores of these Pokémon look like the
stars in the sky.
                ",120
120,Starmie,"
                  Starmie's center section—the core—glows brightly in seven
colors. Because of its luminous nature, this Pokémon has
been given the nickname “the gem of the sea.""
                ",121
121,Mr.,"
                  It's highly skilled at tap-dancing. It waves its cane of ice in time with its graceful movements.
                ",ime
122,Scyther,"
                  Scyther is blindingly fast. Its blazing speed enhances the
effectiveness of the twin scythes on its forearms.
This Pokémon's scythes are so effective, they can slice
through thick logs in one wicked stroke.
                ",123
123,Jynx,"
                  Jynx walks rhythmically, swaying and shaking its hips as if it
were dancing. Its motions are so bouncingly alluring, people
seeing it are compelled to shake their hips without giving any
thought to what they are doing.
                ",124
124,Electabuzz,"
                  When a storm arrives, gangs of this Pokémon compete with
each other to scale heights that are likely to be stricken by
lightning bolts. Some towns use Electabuzz in place of
lightning rods.
                ",125
125,Magmar,"
                  In battle, Magmar blows out intensely hot flames from all
over its body to intimidate its opponent. This Pokémon's
fiery bursts create heat waves that ignite grass and trees
in its surroundings.
                ",126
126,Pinsir,"
                  Pinsir is astoundingly strong. It can grip a foe weighing twice
its weight in its horns and easily lift it. This Pokémon's
movements turn sluggish in cold places.
                ",127
127,Tauros,"
                  This Pokémon is not satisfied unless it is rampaging at all
times. If there is no opponent for Tauros to battle, it will
charge at thick trees and knock them down to calm itself.
                ",128
128,Magikarp,"
                  Magikarp is a pathetic excuse for a Pokémon that is only
capable of flopping and splashing. This behavior prompted
scientists to undertake research into it.
                ",129
129,Gyarados,"
                  When Magikarp evolves into Gyarados, its brain cells undergo a
structural transformation. It is said that this transformation is to
blame for this Pokémon's wildly violent nature.
                ",130
130,Lapras,"
                  People have driven Lapras almost to the point of extinction.
In the evenings, this Pokémon is said to sing plaintively as it
seeks what few others of its kind still remain.
                ",131
131,Ditto,"
                  Ditto rearranges its cell structure to transform itself into other
shapes. However, if it tries to transform itself into something
by relying on its memory, this Pokémon manages to get
details wrong.
                ",132
132,Eevee,"
                  Eevee has an unstable genetic makeup that suddenly mutates
due to the environment in which it lives. Radiation from various
stones causes this Pokémon to evolve.
                ",133
133,Vaporeon,"
                  Vaporeon underwent a spontaneous mutation and grew fins
and gills that allow it to live underwater. This Pokémon has the
ability to freely control water.
                ",134
134,Jolteon,"
                  Jolteon's cells generate a low level of electricity. This power is
amplified by the static electricity of its fur, enabling the
Pokémon to drop thunderbolts. The bristling fur is made of
electrically charged needles.
                ",135
135,Flareon,"
                  Flareon's fluffy fur has a functional purpose—it releases heat
into the air so that its body does not get excessively hot.
This Pokémon's body temperature can rise to a maximum of
1,650 degrees Fahrenheit.
                ",136
136,Porygon,"
                  Porygon is capable of reverting itself entirely back to program
data and entering cyberspace. This Pokémon is copy protected
so it cannot be duplicated by copying.
                ",137
137,Omanyte,"
                  Omanyte is one of the ancient and long-since-extinct Pokémon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell.
                ",138
138,Omastar,"
                  Omastar uses its tentacles to capture its prey. It is believed to
have become extinct because its shell grew too large and
heavy, causing its movements to become too slow
and ponderous.
                ",139
139,Kabuto,"
                  Kabuto is a Pokémon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have been
discovered. The Pokémon has not changed at all for
300 million years.
                ",140
140,Kabutops,"
                  Kabutops swam underwater to hunt for its prey in ancient
times. The Pokémon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs.
                ",141
141,Aerodactyl,"
                  Aerodactyl is a Pokémon from the age of dinosaurs. It was
regenerated from genetic material extracted from amber. It is
imagined to have been the king of the skies in ancient times.
                ",142
142,Snorlax,"
                  Snorlax's typical day consists of nothing more than eating and
sleeping. It is such a docile Pokémon that there are children
who use its expansive belly as a place to play.
                ",143
143,Articuno,"
                  Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall.
                ",144
144,Zapdos,"
                  Zapdos is a legendary bird Pokémon that has the ability to
control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts.
                ",145
145,Moltres,"
                  Moltres is a legendary bird Pokémon that has the ability to
control fire. If this Pokémon is injured, it is said to dip its body
in the molten magma of a volcano to burn and heal itself.
                ",146
146,Dratini,"
                  Dratini continually molts and sloughs off its old skin. It does so
because the life energy within its body steadily builds to reach
uncontrollable levels.
                ",147
147,Dragonair,"
                  Dragonair stores an enormous amount of energy inside its
body. It is said to alter weather conditions in its vicinity by
discharging energy from the crystals on its neck and tail.
                ",148
148,Dragonite,"
                  Dragonite is capable of circling the globe in just 16 hours.
It is a kindhearted Pokémon that leads lost and foundering
ships in a storm to the safety of land.
                ",149
149,Mewtwo,"
                  Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power of
humans created this Pokémon's body, they failed to endow
Mewtwo with a compassionate heart.
                ",150
150,Mew,"
                  Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people.
                ",151
151,Chikorita,"
                  In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy, friendly
atmosphere all around.
                ",152
152,Bayleef,"
                  Bayleef's neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy.
                ",153
153,Meganium,"
                  The fragrance of Meganium's flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe's fighting spirit.
                ",154
154,Cyndaquil,"
                  Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion.
                ",155
155,Quilava,"
                  Quilava keeps its foes at bay with the intensity of its flames and
gusts of superheated air. This Pokémon applies its outstanding
nimbleness to dodge attacks even while scorching the foe
with flames.
                ",156
156,Typhlosion,"
                  Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders.
                ",157
157,Totodile,"
                  Despite the smallness of its body, Totodile's jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury.
                ",158
158,Croconaw,"
                  Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are forked
back like barbed fishhooks, they become impossible to remove
when they have sunk in.
                ",159
159,Feraligatr,"
                  Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed.
                ",160
160,Sentret,"
                  When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger.
When this Pokémon becomes separated from its pack,
it becomes incapable of sleep due to fear.
                ",161
161,Furret,"
                  Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet.
                ",162
162,Hoothoot,"
                  Hoothoot has an internal organ that senses and tracks the
earth's rotation. Using this special organ, this Pokémon begins
hooting at precisely the same time every day.
                ",163
163,Noctowl,"
                  Noctowl never fails at catching prey in darkness. This Pokémon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight.
                ",164
164,Ledyba,"
                  Ledyba secretes an aromatic fluid from where its legs join its
body. This fluid is used for communicating with others.
This Pokémon conveys its feelings to others by altering the
fluid's scent.
                ",165
165,Ledian,"
                  It is said that in lands with clean air, where the stars fill the
sky, there live Ledian in countless numbers. There is a good
reason for this—the Pokémon uses the light of the stars as
its energy.
                ",166
166,Spinarak,"
                  The web spun by Spinarak can be considered its second
nervous system. It is said that this Pokémon can determine
what kind of prey is touching its web just by the tiny vibrations
it feels through the web's strands.
                ",167
167,Ariados,"
                  Ariados's feet are tipped with tiny hooked claws that enable it
to scuttle on ceilings and vertical walls. This Pokémon
constricts the foe with thin and strong silk webbing.
                ",168
168,Crobat,"
                  If this Pokémon is flying by fluttering only a pair of wings on
either the forelegs or hind legs, it's proof that Crobat has been
flying a long distance. It switches the wings it uses if it is tired.
                ",169
169,Chinchou,"
                  Chinchou lets loose positive and negative electrical charges
from its two antennas to make its prey faint. This Pokémon
flashes its electric lights to exchange signals with others.
                ",170
